normalized_manufacturer,ticker,country_exchange_code,fuzzy_score,fuzzy_method,source
GRAHAM MEDICAL TECHNOLOGIES DBA GRAMEDICA,PRIVATE,PRIVATE,100,partial,fuzzy_match
GRACE MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
GORE W L GORE AND ASSOCIATES,PRIVATE,PRIVATE,100,partial,fuzzy_match
GME GERMAN MEDICAL ENGINEERING,PRIVATE,PRIVATE,100,partial,fuzzy_match
GLOBALMED TECHNOLOGIES,PRIVATE,PRIVATE,100,partial,fuzzy_match
GLOBAL LIFE SCIENCES SOLUTIONS USA,HSIC,US,100,partial,fuzzy_match
STRYKER SUSTAINABILITY SOLUTIONS,SYK,US,100,partial,fuzzy_match
STRYKER PHYSIO CONTROL,MDT,US,100,partial,fuzzy_match
STRYKER NEUROVASCULAR CORK MHRA ORG ID 31806,SYK,US,100,partial,fuzzy_match
STRYKER MEDTECH,SYK,US,100,partial,fuzzy_match
STRYKER MEDICAL TECHNOLOGY,SYK,US,100,partial,fuzzy_match
STRYKER MEDICAL SPRINKLE RD,SYK,US,100,partial,fuzzy_match
STRYKER MEDICAL KALAMAZOO MHRA ORG ID 42697,SYK,US,100,partial,fuzzy_match
STRYKER LEIBINGER FREIBURG MHRA ORG ID 31814,SYK,US,100,partial,fuzzy_match
STRYKER LEIBINGER AND,SYK,US,100,partial,fuzzy_match
STRYKER LEIBINGER,SYK,US,100,partial,fuzzy_match
STRYKER IRELAND INSTRUMENTS,SYK,US,100,partial,fuzzy_match
STRYKER INSRUMENTS,SYK,US,100,partial,fuzzy_match
STRYKER EMEA SUPPLY CHAIN SERVICES,SYK,US,100,partial,fuzzy_match
STRYER MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
HEBEI HEALTHPLUS MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
HEALTH,BAX,US,100,partial,fuzzy_match
HARMONIC BIONICS,BIM,FR,100,partial,fuzzy_match
HANGZHOU FUYANG HONGWEI METAL PRODUCT,ZBH,US,100,partial,fuzzy_match
HANGZHOU DUNLI IMPORT AND EXPORT,ZBH,US,100,partial,fuzzy_match
HANDPIECE HEADQUARTERS,GALD,CH,100,partial,fuzzy_match
HAMILTON,PRIVATE,PRIVATE,100,partial,fuzzy_match
HAGENDORF SYNTHES PRODUKTIONS,JNJ,US,100,partial,fuzzy_match
GYRUS ACMI OEM,PRIVATE,PRIVATE,100,partial,fuzzy_match
GUNZE,ZBH,US,100,partial,fuzzy_match
HOWARD TECHNOLOGY SOLUTIONS,HSIC,US,100,partial,fuzzy_match
HOWARD MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
HOLOGIC SURGICAL PRODUCTS,PRIVATE,PRIVATE,100,partial,fuzzy_match
HOLOGIC FOCAL THERAPEUTICS,PRIVATE,PRIVATE,100,partial,fuzzy_match
HOBBS MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
HIMEDIA LABORATORIES PRIVATE,PRIVATE,PRIVATE,100,partial,fuzzy_match
HILL ROM SERVICES PRIVATE,BAX,US,100,partial,fuzzy_match
HILL ROM MANUFACTURING,BAX,US,100,partial,fuzzy_match
HEFEI YAMEINA ENVIRONMENTAL MEDICAL EQUIPMENT,PRIVATE,PRIVATE,100,partial,fuzzy_match
HEBEI HOUDE HANFANG MEDICAL DEVICES GROUP,PRIVATE,PRIVATE,100,partial,fuzzy_match
STRATUS MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
STERIS CORPORATOION,STE,US,100,partial,fuzzy_match
STERILMED,PRIVATE,PRIVATE,100,partial,fuzzy_match
STERICARE SOLUTIONS,HSIC,US,100,partial,fuzzy_match
STAAR SURGICAL COMPANT,ALC,US,100,partial,fuzzy_match
ST JUDE S MEDICAL CARDIOLOGY,PRIVATE,PRIVATE,100,partial,fuzzy_match
ST JUDE MEDICALL,ABT,US,100,partial,fuzzy_match
ST JUDE MEDICAL PUERTO RICO,ABT,US,100,partial,fuzzy_match
ST JUDE MEDICAL OPERATIONS,ABT,US,100,partial,fuzzy_match
ST JUDE MEDICAL HEA,ABT,US,100,partial,fuzzy_match
ST JUDE MEDICAL H,ABT,US,100,partial,fuzzy_match
ST JUDE MEDICAL CARDIOVASCULAR,ABT,US,100,partial,fuzzy_match
ICU MEDICAL DUBLIN OH,ICUI,US,100,partial,fuzzy_match
ICU MEDICAL COSTA RICA UNDO,ICUI,US,100,partial,fuzzy_match
ICU MEDICAL C V,ICUI,US,100,partial,fuzzy_match
ICU MEDICAL ASD,ICUI,US,100,partial,fuzzy_match
ICU MEDICAL 3350,ICUI,US,100,partial,fuzzy_match
I T S,PRIVATE,PRIVATE,100,token_set,fuzzy_match
I,TNDM,US,100,partial,fuzzy_match
HUNAN VATHIN MEDICAL INSTRUMENT,PRIVATE,PRIVATE,100,partial,fuzzy_match
HUIZHOU JINGHAO MEDICAL TECHNOLOGY,PRIVATE,PRIVATE,100,partial,fuzzy_match
HU,ARJO,SE,100,partial,fuzzy_match
HT MEDICAL DBA XENIX MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
INFINITE BIOMEDICAL TECHNOLOGIES,PRIVATE,PRIVATE,100,partial,fuzzy_match
INCEPTUS MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
INBIOS INTERNATIONAL,BIM,FR,100,partial,fuzzy_match
IMPLANT DIRECT,PRIVATE,PRIVATE,100,partial,fuzzy_match
ILLUMINOSS MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
IDEAL QUALITY,GALD,CH,100,partial,fuzzy_match
ICU MEDICAL SOUTHINGTON CT,ICUI,US,100,partial,fuzzy_match
ICU MEDICAL OAKDALE MN,ICUI,US,100,partial,fuzzy_match
ICU MEDICAL MINNEAPOLIS MN,ICUI,US,100,partial,fuzzy_match
ICU MEDICAL MANUFACTUING C V,ICUI,US,100,partial,fuzzy_match
ICU MEDICAL ITALIA LATINA SCALO,ICUI,US,100,partial,fuzzy_match
ICU MEDICAL INTERNATIONAL,ICUI,US,100,partial,fuzzy_match
INTCO MED INTL HK,PRIVATE,PRIVATE,100,partial,fuzzy_match
INSPIRE MEDICAL SYSYTEMS,PRIVATE,PRIVATE,100,partial,fuzzy_match
INSPIRE MEDICAL SYSTEM,PRIVATE,PRIVATE,100,partial,fuzzy_match
INNOVATIVE MEDICAL TECHNOLOGIES,PRIVATE,PRIVATE,100,partial,fuzzy_match
INNOVA MEDICAL GROUP,PRIVATE,PRIVATE,100,partial,fuzzy_match
INNOMED,PRIVATE,PRIVATE,100,partial,fuzzy_match
ST JUDE MEDICAL CARDIOLOGY,ABT,US,100,partial,fuzzy_match
ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISI,ABT,US,100,partial,fuzzy_match
ST JUDE MEDICAL BRASIL,ABT,US,100,partial,fuzzy_match
ST JUDE MEDICAL ATRIAL FIBRILLATION,ABT,US,100,partial,fuzzy_match
ST JUDE MEDICA,ABT,US,100,partial,fuzzy_match
SPSMEDICAL SUPPLY A DIV CROSSTEX INTL,PRIVATE,PRIVATE,100,partial,fuzzy_match
SPRINT QUATTRO SECURE MRI SURESCAN LEAD,GALD,CH,100,partial,fuzzy_match
SPECTRUM DYNAMICS MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
SPECTRA,PHG,NL,100,partial,fuzzy_match
SPAN MEDICAL PRODUCTS CANADA,PRIVATE,PRIVATE,100,partial,fuzzy_match
SPAN AMERICA MEDICAL SYSTEMS,PRIVATE,PRIVATE,100,partial,fuzzy_match
INTUITY MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
INTUITIVE SURGICAL OPERATIONS,ISRG,US,100,partial,fuzzy_match
INTUITIVE SURGICAL G K,ISRG,US,100,partial,fuzzy_match
INTRAOP MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
INTERSURGICAL MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
INTERRAD MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
INTERNATIONAL MEDICAL DEVIES,PRIVATE,PRIVATE,100,partial,fuzzy_match
INTERNATIONAL MEDICAL DEVICES,PRIVATE,PRIVATE,100,partial,fuzzy_match
SOUTTER MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
SOUND QUEST,GALD,CH,100,partial,fuzzy_match
SOTERIX MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
SORIN GROUP,LIVN,US,100,partial,fuzzy_match
SONTEK MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
SOMNOMED,PRIVATE,PRIVATE,100,partial,fuzzy_match
SOMATEX MEDICAL TECHNOLOGIES,PRIVATE,PRIVATE,100,partial,fuzzy_match
SOLVENTUM,HSIC,US,100,partial,fuzzy_match
SOLOTICA INDUSTRIA E COMERCIO,HSIC,US,100,partial,fuzzy_match
SOLMETEX,HSIC,US,100,partial,fuzzy_match
SOLEVA PHARMA,HSIC,US,100,partial,fuzzy_match
JIANGSU RIXIN MEDICAL EQUIPMENT,PRIVATE,PRIVATE,100,partial,fuzzy_match
JIANGSU NANFANG MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
JIANGSU JUMAO X CARE MEDICAL EQUIPMENT,PRIVATE,PRIVATE,100,partial,fuzzy_match
JIANGSU JUMAO X CARE MEDICAL DANYANG JIANGSU PRC,PRIVATE,PRIVATE,100,partial,fuzzy_match
JIANGSU JUMAO MEDICAL EQUIPMENT,PRIVATE,PRIVATE,100,partial,fuzzy_match
JIANGSU JIANYU HEALTH MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
JIANGSU INTCO MEDICAL PRODUCTS,PRIVATE,PRIVATE,100,partial,fuzzy_match
JIANGMEN DACHENG MEDICAL EQUIPMENT,PRIVATE,PRIVATE,100,partial,fuzzy_match
JIANERKANG MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
JEDMED INSTRUMENT,PRIVATE,PRIVATE,100,partial,fuzzy_match
ISORAY MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
IPI MEDICAL PRODUCTS DIV INHALATION PLASTICS,PRIVATE,PRIVATE,100,partial,fuzzy_match
KARL STORZ AND K,PRIVATE,PRIVATE,100,partial,fuzzy_match
KARL STORZ,PRIVATE,PRIVATE,100,partial,fuzzy_match
KARL LEIBINGER MEDIZINTECHNIK AND,PRIVATE,PRIVATE,100,partial,fuzzy_match
KALITEC MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
KALITEC DIRECT DBA KALITEC MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
JOINT RECON VIANT MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
JOHNSON AND JOHNSON MEDTECH,PRIVATE,PRIVATE,100,partial,fuzzy_match
JIGSAW MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
JIANGYIN HUASHI MEDICAL EQUIPMENT,PRIVATE,PRIVATE,100,partial,fuzzy_match
JIANGYIN HUASHI MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
JIANGXI SANXIN MEDTEC,PRIVATE,PRIVATE,100,partial,fuzzy_match
JIANGXI INTCO MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
SOL MILLENNIUM MEDICAL CHICAGO IL USA,PRIVATE,PRIVATE,100,partial,fuzzy_match
SOL MILLENNIM MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
SOL MILLENNIAL MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
SOFWAVE MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
SOFREGEN MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
SMTIHS MEDICAL MD,PRIVATE,PRIVATE,100,partial,fuzzy_match
SMOTHS MEDICAL ASD,PRIVATE,PRIVATE,100,partial,fuzzy_match
SMITSH MEDICAL ASD,PRIVATE,PRIVATE,100,partial,fuzzy_match
SMITS MEDICAL ASD,PRIVATE,PRIVATE,100,partial,fuzzy_match
SMITHS MEDICALL MD,PRIVATE,PRIVATE,100,partial,fuzzy_match
KYOCERA MEDICAL TECHNOLOGIES,PRIVATE,PRIVATE,100,partial,fuzzy_match
KREG MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
KESTRA MEDICAL TECHOLOGIES,PRIVATE,PRIVATE,100,partial,fuzzy_match
KESTRA MEDICAL TECHNOLOGIES SERVICES,PRIVATE,PRIVATE,100,partial,fuzzy_match
KENZZI,ZBH,US,100,partial,fuzzy_match
KARL STORZ IMAGING,ZBH,US,100,partial,fuzzy_match
KARL STORZ ENDOSCOPY,ZBH,US,100,partial,fuzzy_match
KARL STORZ ENDO,ZBH,US,100,partial,fuzzy_match
SMITHS MEDICAL MD,PRIVATE,PRIVATE,100,partial,fuzzy_match
SMITHS MEDICAL ITALIA,PRIVATE,PRIVATE,100,partial,fuzzy_match
SMITHS MEDICAL INTERNATIONAL NIJMEGEN,PRIVATE,PRIVATE,100,partial,fuzzy_match
SMITHS MEDICAL INT,PRIVATE,PRIVATE,100,partial,fuzzy_match
SMITHS MEDICAL ASD INCA,ICUI,US,100,partial,fuzzy_match
SMITHS MEDICAL ASD IN,ICUI,US,100,partial,fuzzy_match
SMITHS MEDICAL ASD IMC,ICUI,US,100,partial,fuzzy_match
SMITHS MEDICAL ASD F,ICUI,US,100,partial,fuzzy_match
SMITHS MEDICAL,ICUI,US,100,partial,fuzzy_match
SMITHS MEDIAL ASD,PRIVATE,PRIVATE,100,partial,fuzzy_match
SMITHS MEDCIAL ASD,PRIVATE,PRIVATE,100,partial,fuzzy_match
SMITH NEPHEW,SN.,GB,100,token_set,fuzzy_match
SMITH MEDICAL ASD,PRIVATE,PRIVATE,100,partial,fuzzy_match
SMITH AND NEPHEW ENDOSCOPY,SN.,GB,100,partial,fuzzy_match
SMISSON CARTLEDGE BIOMEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
LEICA BIOSYSTEMS NUSSLOCH,BIM,FR,100,partial,fuzzy_match
LEICA BIOSYSTEMS NEWCASTLE,BIM,FR,100,partial,fuzzy_match
LANTHEUS MEDICAL IMAGING,PRIVATE,PRIVATE,100,partial,fuzzy_match
LAERDAL MEDICAL AS,PRIVATE,PRIVATE,100,partial,fuzzy_match
LABORIE MEDICAL TECHNOLOGIES CANADA,PRIVATE,PRIVATE,100,partial,fuzzy_match
LABORIE MEDICAL TECHNOLOGIES,PRIVATE,PRIVATE,100,partial,fuzzy_match
L,DHR,US,100,partial,fuzzy_match
LS SOLUTIONS,HSIC,US,100,partial,fuzzy_match
LOWENSTEIN MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
LIVANOVA US,LIVN,US,100,partial,fuzzy_match
LIVANOVA DEUTCHLAND,LIVN,US,100,partial,fuzzy_match
LIVANOVA CANADA,LIVN,US,100,partial,fuzzy_match
LITECURE A DJO,ENOV,US,100,partial,fuzzy_match
LINKOU MEDICAL INDUSTRIAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
LINDE GAS AND EQUIPMENT,GALD,CH,100,partial,fuzzy_match
LINA MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
LIFESCAN SCOTLAND,PRIVATE,PRIVATE,100,partial,fuzzy_match
LIFELONG MEDITECH PRIVATE,PRIVATE,PRIVATE,100,partial,fuzzy_match
MAQUET MEXICANA S R L C V,MDT,US,100,partial,fuzzy_match
MAQUET CARDIOVASCULAR GETINGE,MDT,US,100,partial,fuzzy_match
MANUS MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
MANUFACTURER NAME SMITH AND NEPHEW ORTHOPAEDICS,SN.,GB,100,partial,fuzzy_match
MANUFACTOR UNKNOWN,PRIVATE,PRIVATE,100,partial,fuzzy_match
MANAMED,PRIVATE,PRIVATE,100,partial,fuzzy_match
MALLINCKRODT,PRIVATE,PRIVATE,100,partial,fuzzy_match
MAGNOLIA MEDICAL TECHNOLOGIES,PRIVATE,PRIVATE,100,partial,fuzzy_match
LUMENIS BE,BSX,US,100,partial,fuzzy_match
LSI SOLUTIONS,HSIC,US,100,partial,fuzzy_match
SMI COLD THERAPY DBA SOLUTION MATRIX,HSIC,US,100,partial,fuzzy_match
SKYLINE MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
SIZEWISE MANUFACTURING,ZBH,US,100,partial,fuzzy_match
SIS MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
SIRTEX MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
SIRIUS MEDICAL SYSTEMS,PRIVATE,PRIVATE,100,partial,fuzzy_match
SILONY MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDGYN PRODUCTS,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDFIX INTERNATIONAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDEIA GROUP,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDEGEN MEDICAL PRODUCTS,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDACURE,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDACTA USA,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDACTA SWITZERLAND,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDA,BAX,US,100,partial,fuzzy_match
MDT PUERTO RICO OPERATIONS MED REL,PRIVATE,PRIVATE,100,partial,fuzzy_match
MASIMO INDUSTRIAL VALLERA MEXICALI C,MASI,US,100,partial,fuzzy_match
MARINA MEDICAL INSTRUMENTS,PRIVATE,PRIVATE,100,partial,fuzzy_match
MARIAN MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
SIGNIFIER MEDICAL TECHNOLOGIES,PRIVATE,PRIVATE,100,partial,fuzzy_match
SIESTA MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
SIENTRA SILICONE GEL BREAST IMPLANTS,SIEN,US,100,partial,fuzzy_match
SIEMENS SHANGHAI MEDICAL EQUIPMENT,PRIVATE,PRIVATE,100,partial,fuzzy_match
SIEMENS HEALTHINEER,SHL,DE,100,partial,fuzzy_match
SIEMENS HEALTHCARE SECTOR,SHL,DE,100,partial,fuzzy_match
SIEMENS HEALTHCARE DIAGNOSTICSINC,SHL,DE,100,partial,fuzzy_match
SIEMENS HEALTHCARE DIAGNOSTICS MANUFACTURING,SHL,DE,100,partial,fuzzy_match
SICHUAN QILI ENTERPRISE,GALD,CH,100,partial,fuzzy_match
SHOWERBUDDY NEW ZEALAND,ZBH,US,100,partial,fuzzy_match
SHIRAKAWA,7733,JP,100,partial,fuzzy_match
SHINCHANG MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDICO ELECTRODE INTERNATIONAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDICALGORITHMICS,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDICAL SPECIALTIES DISTRIBUTORS,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDICAL MEASUREMENT SYSTEMS,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDICAL INSTRUMENT DEVELOPMENT LABS,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDICAL INFORMATION TECHNOLOGY,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDICAL GROUP CARE,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDICAL GRAPHICS,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDICAL FLOW SYSTEMS,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDICAL ACTION INDUSTRIES 306,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDICAL ACTION INDUSTRIES,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDICA MEDIZINTECHNIK,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDICA,ABT,US,100,partial,fuzzy_match
MEDIBO MEDICAL PRODUCTS,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDIANA,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDI,ABT,US,100,partial,fuzzy_match
MEDRONIC,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDRAD NOW OWNED BY BAYER,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDLINE RENEWAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDLINE INDUSTRUIES,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDLINE INDUSTIRES LP,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDLINE CANADA,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDLINE,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDIVATORS PLYMOUTH,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDIVATOR,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDIVANCE,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDITRONIC,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDITRINA,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDITECH SPINE ATLANTA GEORGIA,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDISAFE UK,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDICUBE,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDICOMP MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDTRONIC MEDICAL DEVICES TE,MDT,US,100,partial,fuzzy_match
MEDTRONIC JAPAN,MDT,US,100,partial,fuzzy_match
MEDTRONIC INX,MDT,US,100,partial,fuzzy_match
MEDTRONIC INCL,MDT,US,100,partial,fuzzy_match
MEDTRONIC HEART VALVE,MDT,US,100,partial,fuzzy_match
MEDTRONIC FRANCE,MDT,US,100,partial,fuzzy_match
MEDTRONIC EV3,MDT,US,100,partial,fuzzy_match
MEDTRONIC ENGINEERING AND INNOVATION CENTER BSR TECH PARK,MDT,US,100,partial,fuzzy_match
MEDTRONIC EATONTOWN,MDT,US,100,partial,fuzzy_match
MEDTRONIC CARDIOVASCULAR SANTA ROSA,MDT,US,100,partial,fuzzy_match
MEDTRONIC CARDIAC RHYTHM DISEASE MANAGEMENT,MDT,US,100,partial,fuzzy_match
MEDTRONIC 3F THERAPEUTICS,MDT,US,100,partial,fuzzy_match
MEDTRADE PRODUCTS,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDTORNIC EUROPE,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDTEC,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDSHAPE,PRIVATE,PRIVATE,100,partial,fuzzy_match
MENTOR TEXAS LP,JNJ,US,100,partial,fuzzy_match
MENTOR MEDICAL SYSTEM,PRIVATE,PRIVATE,100,partial,fuzzy_match
MENS HEALTHCARE DIAGNOSTICS,SHL,DE,100,partial,fuzzy_match
MEIXIN MEDICAL SUZHOU,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDXL,PRIVATE,PRIVATE,100,partial,fuzzy_match
MEDTRONIC SYNETURE,MDT,US,100,partial,fuzzy_match
MEDTRONIC PUERTO RICO OPERATIONS VILLALBA MPRI,MDT,US,100,partial,fuzzy_match
MEDTRONIC PUERTO RICO OPERATIONS JUNCOS,MDT,US,100,partial,fuzzy_match
MEDTRONIC PUERTO RICO OPERATIONS HU,MDT,US,100,partial,fuzzy_match
MEDTRONIC PUERTO RICO OPERATIONS C,MDT,US,100,partial,fuzzy_match
MEDTRONIC PUERTO RICA OPERATIONS,MDT,US,100,partial,fuzzy_match
MEDTRONIC PS MEDICAL,MDT,US,100,partial,fuzzy_match
MEDTRONIC POWERED SURGICAL SOLUTIONS,MDT,US,100,partial,fuzzy_match
MEDTRONIC OPERATIONAL HEADQUARTERS,MDT,US,100,partial,fuzzy_match
MEDTRONIC NAVIGATON,MDT,US,100,partial,fuzzy_match
MICRO THERAPEUTICS DBA EV3 NEUROVA,MDT,US,100,partial,fuzzy_match
MHC MEDICAL PRODUCTS,PRIVATE,PRIVATE,100,partial,fuzzy_match
MERZ NORTH AMERICA,ZBH,US,100,partial,fuzzy_match
MERIT MEDICAL SYTEMS,PRIVATE,PRIVATE,100,partial,fuzzy_match
MERIT MEDICAL SYSTEMS RICHMOND,PRIVATE,PRIVATE,100,partial,fuzzy_match
MERIT MEDICAL SINGAPORE,PRIVATE,PRIVATE,100,partial,fuzzy_match
MERIT MEDICAL ROISSY EN,PRIVATE,PRIVATE,100,partial,fuzzy_match
MERIT MEDICAL RICHMOND,PRIVATE,PRIVATE,100,partial,fuzzy_match
MERIT MEDICAL MANUFACTURING,PRIVATE,PRIVATE,100,partial,fuzzy_match
MERIT MEDICAL IRELAND,PRIVATE,PRIVATE,100,partial,fuzzy_match
MERIT MEDICAL BRASIL,PRIVATE,PRIVATE,100,partial,fuzzy_match
MERGE HEALTHCARE SOLUTIONS,HSIC,US,100,partial,fuzzy_match
MERCURY MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
MINIMED DISTRIBUTION,PRIVATE,PRIVATE,100,partial,fuzzy_match
MILLYARD ADVANCED MEDICAL PRODUXTS,PRIVATE,PRIVATE,100,partial,fuzzy_match
MICROVENTION EUROPE,4552,JP,100,partial,fuzzy_match
MICROVENTION COSTA RICA,4552,JP,100,partial,fuzzy_match
MICROVENTION COM,4552,JP,100,partial,fuzzy_match
MICROTEK MEDICAL VARSSEVELD,PRIVATE,PRIVATE,100,partial,fuzzy_match
MICROTEK MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
MICROMEDICS,PRIVATE,PRIVATE,100,partial,fuzzy_match
SHIMADZU COPORATION,ZBH,US,100,partial,fuzzy_match
SHIJIAZHUANG WANGFENG TECHNOLOGY,ZBH,US,100,partial,fuzzy_match
SHENZHEN ZIQING MEDICAL EQUIPMENT,PRIVATE,PRIVATE,100,partial,fuzzy_match
SHENZHEN TPH TECHNOLOGY,ZBH,US,100,partial,fuzzy_match
SHENZHEN TESLONG TECHNOLOGY,ZBH,US,100,partial,fuzzy_match
SHENZHEN TAIKANG MEDICAL EQUIPMENT,PRIVATE,PRIVATE,100,partial,fuzzy_match
SHENZHEN SHISHIBANG TECHNOLOGY,ZBH,US,100,partial,fuzzy_match
SHENZHEN SHENGYE TECHNOLOGY,ZBH,US,100,partial,fuzzy_match
SHENZHEN MOYEAH INTELLIGENT LIFE,ZBH,US,100,partial,fuzzy_match
SHENZHEN MINDRAY BIOMEDICAL ELECTRONICS LTDS,PRIVATE,PRIVATE,100,partial,fuzzy_match
SHENZHEN MERICONN TECHNOLOGY,ZBH,US,100,partial,fuzzy_match
SHENZHEN JAMR TECHNOLOGY,ZBH,US,100,partial,fuzzy_match
SHENZHEN IONKA MEDICAL TECHNOLOGY,PRIVATE,PRIVATE,100,partial,fuzzy_match
SHENZHEN HOMED MEDICAL DEVICECO,PRIVATE,PRIVATE,100,partial,fuzzy_match
SHENZHEN GIFTSHINE TECHNOLOGY,ZBH,US,100,partial,fuzzy_match
MOZARC MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
MOTEK MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
MOOG ZEVEX,ZBH,US,100,partial,fuzzy_match
MOOG MEDICAL DEVICES,PRIVATE,PRIVATE,100,partial,fuzzy_match
MOOG MEDICAL,PRIVATE,PRIVATE,100,partial,fuzzy_match
MONARCH BIOIMPLANTS,BIM,FR,100,partial,fuzzy_match
MMEDOS INTERNATIONAL,JNJ,US,100,partial,fuzzy_match
MIZUHO OSI,ZBH,US,100,partial,fuzzy_match
MITHS HEALTHCARE MANUFACTURING C V,SMIN,GB,100,partial,fuzzy_match
NEILMED PHARMACEUTICALS,PRIVATE,PRIVATE,100,partial,fuzzy_match
ND,TNDM,US,100,partial,fuzzy_match
